Identifier,UUID,Title,Body,Body format
1,block_baseline,Baseline,<p>Socle Drupalcamp. <a href="/node/18">Mentions légales</a>. <a href="/contact/contact">Nous contacter</a>.</p>,full_html
2,block_program,Program,<div class="col-md-4"><h3>Vendredi 10 juin</h3><p>Sprints</p></div><div class="col-md-4"><h3>Samedi 11 juin</h3><p>Sprints + sessions + ateliers.<br>Soirée communautaire le soir.</p></div><div class="col-md-4"><h3>Dimanche 12 juin</h3><p>Sprints + sessions + ateliers</p></div>,full_html
