"Identifier","UUID","Filename","Filepath","Filemime","Status","URI"
1,"default_sponsor_logo","default_sponsor_logo.png","profiles/custom/drupalcampfr/modules/custom/drupalcampfr_migrate/migrations/data/files/default_sponsor_logo.png","image/png",1,"public://default_images/default_sponsor_logo.png"
2,"default_user_picture","default_user_picture.png","profiles/custom/drupalcampfr/modules/custom/drupalcampfr_migrate/migrations/data/files/default_user_picture.png","image/png",1,"public://default_images/default_user_picture.png"
